ID,Anggaran Belanja,Jenis Anggaran,Jumlah Anggaran,Satuan,Tahun
1,BELANJA PEGAWAI,MURNI,1673209654391,RUPIAH,2013
2,BELANJA PEGAWAI,PERUBAHAN,1648209654391,RUPIAH,2013
3,BELANJA PEGAWAI,REALISASI,1535932801908,RUPIAH,2013
4,BELANJA BUNGA,MURNI,0,RUPIAH,2013
5,BELANJA BUNGA,PERUBAHAN,0,RUPIAH,2013
6,BELANJA BUNGA,REALISASI,0,RUPIAH,2013
7,BELANJA SUBSIDI,MURNI,10000000000,RUPIAH,2013
8,BELANJA SUBSIDI,PERUBAHAN,10000000000,RUPIAH,2013
9,BELANJA SUBSIDI,REALISASI,2940521000,RUPIAH,2013
10,BELANJA HIBAH,MURNI,5350065225090,RUPIAH,2013
11,BELANJA HIBAH,PERUBAHAN,6063165928140,RUPIAH,2013
12,BELANJA HIBAH,REALISASI,5673020648350,RUPIAH,2013
13,BELANJA BANTUAN SOSIAL,MURNI,25500000000,RUPIAH,2013
14,BELANJA BANTUAN SOSIAL,PERUBAHAN,23845670000,RUPIAH,2013
15,BELANJA BANTUAN SOSIAL,REALISASI,13600215000,RUPIAH,2013
16,BELANJA BAGI HASIL,MURNI,3205445313000,RUPIAH,2013
17,BELANJA BAGI HASIL,PERUBAHAN,4084468094706,RUPIAH,2013
18,BELANJA BAGI HASIL,REALISASI,3994277231373,RUPIAH,2013
19,BELANJA BANTUAN KEUANGAN,MURNI,3144915502324,RUPIAH,2013
20,BELANJA BANTUAN KEUANGAN,PERUBAHAN,3926881520149,RUPIAH,2013
21,BELANJA BANTUAN KEUANGAN,REALISASI,3504341590226,RUPIAH,2013
22,BELANJA TIDAK TERDUGA,MURNI,432287297753,RUPIAH,2013
23,BELANJA TIDAK TERDUGA,PERUBAHAN,53584770998,RUPIAH,2013
24,BELANJA TIDAK TERDUGA,REALISASI,0,RUPIAH,2013
25,BELANJA PEGAWAI,MURNI,1574914367218,RUPIAH,2014
26,BELANJA PEGAWAI,PERUBAHAN,1706329491689,RUPIAH,2014
27,BELANJA PEGAWAI,REALISASI,1569541693357,RUPIAH,2014
28,BELANJA BUNGA,MURNI,0,RUPIAH,2014
29,BELANJA BUNGA,PERUBAHAN,0,RUPIAH,2014
30,BELANJA BUNGA,REALISASI,0,RUPIAH,2014
31,BELANJA SUBSIDI,MURNI,10000000000,RUPIAH,2014
32,BELANJA SUBSIDI,PERUBAHAN,10000000000,RUPIAH,2014
33,BELANJA SUBSIDI,REALISASI,6805400000,RUPIAH,2014
34,BELANJA HIBAH,MURNI,6381478662500,RUPIAH,2014
35,BELANJA HIBAH,PERUBAHAN,6886319731400,RUPIAH,2014
36,BELANJA HIBAH,REALISASI,6179782845290,RUPIAH,2014
37,BELANJA BANTUAN SOSIAL,MURNI,15000000000,RUPIAH,2014
38,BELANJA BANTUAN SOSIAL,PERUBAHAN,8186000000,RUPIAH,2014
39,BELANJA BANTUAN SOSIAL,REALISASI,2871320000,RUPIAH,2014
40,BELANJA BAGI HASIL,MURNI,4921517482595,RUPIAH,2014
41,BELANJA BAGI HASIL,PERUBAHAN,5804361085247,RUPIAH,2014
42,BELANJA BAGI HASIL,REALISASI,5461539028033,RUPIAH,2014
43,BELANJA BANTUAN KEUANGAN,MURNI,4259949526871,RUPIAH,2014
44,BELANJA BANTUAN KEUANGAN,PERUBAHAN,4646350570198,RUPIAH,2014
45,BELANJA BANTUAN KEUANGAN,REALISASI,3738146028076,RUPIAH,2014
46,BELANJA TIDAK TERDUGA,MURNI,113475000000,RUPIAH,2014
47,BELANJA TIDAK TERDUGA,PERUBAHAN,310928000000,RUPIAH,2014
48,BELANJA TIDAK TERDUGA,REALISASI,130078898,RUPIAH,2014
49,BELANJA PEGAWAI,MURNI,1750356995858,RUPIAH,2015
50,BELANJA PEGAWAI,PERUBAHAN,1778690298085,RUPIAH,2015
51,BELANJA PEGAWAI,REALISASI,1671229142927,RUPIAH,2015
52,BELANJA BUNGA,MURNI,0,RUPIAH,2015
53,BELANJA BUNGA,PERUBAHAN,0,RUPIAH,2015
54,BELANJA BUNGA,REALISASI,0,RUPIAH,2015
55,BELANJA SUBSIDI,MURNI,10000000000,RUPIAH,2015
56,BELANJA SUBSIDI,PERUBAHAN,20000000000,RUPIAH,2015
57,BELANJA SUBSIDI,REALISASI,18990870500,RUPIAH,2015
58,BELANJA HIBAH,MURNI,7154144995000,RUPIAH,2015
59,BELANJA HIBAH,PERUBAHAN,7643860862000,RUPIAH,2015
60,BELANJA HIBAH,REALISASI,6826862952000,RUPIAH,2015
61,BELANJA BANTUAN SOSIAL,MURNI,12000000000,RUPIAH,2015
62,BELANJA BANTUAN SOSIAL,PERUBAHAN,17000000000,RUPIAH,2015
63,BELANJA BANTUAN SOSIAL,REALISASI,3048750000,RUPIAH,2015
64,BELANJA BAGI HASIL,MURNI,6134790633400,RUPIAH,2015
65,BELANJA BAGI HASIL,PERUBAHAN,6597238772635,RUPIAH,2015
66,BELANJA BAGI HASIL,REALISASI,6406192657944,RUPIAH,2015
67,BELANJA BANTUAN KEUANGAN,MURNI,4448668800000,RUPIAH,2015
68,BELANJA BANTUAN KEUANGAN,PERUBAHAN,5544350892459,RUPIAH,2015
69,BELANJA BANTUAN KEUANGAN,REALISASI,4329955772317,RUPIAH,2015
70,BELANJA TIDAK TERDUGA,MURNI,117000000000,RUPIAH,2015
71,BELANJA TIDAK TERDUGA,PERUBAHAN,85297996908,RUPIAH,2015
72,BELANJA TIDAK TERDUGA,REALISASI,0,RUPIAH,2015
73,BELANJA PEGAWAI,MURNI,2104513144638,RUPIAH,2016
74,BELANJA PEGAWAI,PERUBAHAN,1964995266290,RUPIAH,2016
75,BELANJA PEGAWAI,REALISASI,1835034492249,RUPIAH,2016
76,BELANJA BUNGA,MURNI,0,RUPIAH,2016
77,BELANJA BUNGA,PERUBAHAN,0,RUPIAH,2016
78,BELANJA BUNGA,REALISASI,0,RUPIAH,2016
79,BELANJA SUBSIDI,MURNI,15000000000,RUPIAH,2016
80,BELANJA SUBSIDI,PERUBAHAN,15000000000,RUPIAH,2016
81,BELANJA SUBSIDI,REALISASI,14999772000,RUPIAH,2016
82,BELANJA HIBAH,MURNI,9658666532413,RUPIAH,2016
83,BELANJA HIBAH,PERUBAHAN,10180627452113,RUPIAH,2016
84,BELANJA HIBAH,REALISASI,9854923609133,RUPIAH,2016
85,BELANJA BANTUAN SOSIAL,MURNI,19456000000,RUPIAH,2016
86,BELANJA BANTUAN SOSIAL,PERUBAHAN,18380000000,RUPIAH,2016
87,BELANJA BANTUAN SOSIAL,REALISASI,9940000000,RUPIAH,2016
88,BELANJA BAGI HASIL,MURNI,6384562828460,RUPIAH,2016
89,BELANJA BAGI HASIL,PERUBAHAN,6572457593224,RUPIAH,2016
90,BELANJA BAGI HASIL,REALISASI,6393271239759,RUPIAH,2016
91,BELANJA BANTUAN KEUANGAN,MURNI,3523311001587,RUPIAH,2016
92,BELANJA BANTUAN KEUANGAN,PERUBAHAN,4027435706096,RUPIAH,2016
93,BELANJA BANTUAN KEUANGAN,REALISASI,3640311644356,RUPIAH,2016
94,BELANJA TIDAK TERDUGA,MURNI,50000000000,RUPIAH,2016
95,BELANJA TIDAK TERDUGA,PERUBAHAN,29005930833,RUPIAH,2016
96,BELANJA TIDAK TERDUGA,REALISASI,19884000,RUPIAH,2016
97,BELANJA PEGAWAI,MURNI,5054514042136,RUPIAH,2017
98,BELANJA PEGAWAI,PERUBAHAN,5199192018051,RUPIAH,2017
99,BELANJA PEGAWAI,REALISASI,5152653055073,RUPIAH,2017
100,BELANJA BUNGA,MURNI,0,RUPIAH,2017
